,FW_flat,SC_variable,max_ramp,solar_cf
t130,1297,1102,957.88,0.32
t131,1289,1115,982.13,0.32
t132,1287,1143,1000.4,0.32
t133,1284,1170,1022.29,0.07
t134,1285,1188,1045.08,0.07
t135,1289,1213,1061.34,0.07
t136,1284,1240,1085.72,0.07
t137,1281,1263,1107.94,0.11
t138,1290,1286,1125.49,0.11
t139,1294,1310,1150.58,0.11
t140,1291,1326,1170.62,0.11
t141,1293,1340,1195.1,0.15
t142,1296,1362,1217.27,0.15
t143,1296,1380,1233.52,0.15
t144,1298,1392,1258.24,0.15
t145,1301,1412,1284.14,0.17
t146,1302,1433,1298.93,0.17
t147,1298,1450,1322.7,0.17
t148,1297,1467,1335.6,0.17
t149,1299,1483,1355.3,0.12
t150,1303,1506,1374.84,0.12
t151,1304,1519,1384.13,0.12
t152,1303,1523,1397.09,0.12
t153,1303,1538,1413.57,0.06
t154,1309,1548,1429.87,0.06
t155,1311,1550,1444.08,0.06
t156,1313,1560,1454.32,0.06
t157,1318,1563,1462.46,0.12
t158,1326,1560,1471.91,0.12
t159,1327,1563,1477.95,0.12
t160,1328,1558,1482.78,0.12
t161,1325,1556,1483.36,0.19
t162,1332,1561,1491.72,0.19
t163,1334,1560,1494.73,0.19
t164,1332,1553,1499.6,0.19
t165,1336,1545,1493.59,0
t166,1338,1539,1486.83,0
t167,1341,1530,1483.85,0
t168,1337,1521,1476.39,0
t169,1341,1501,1457.93,0
t170,1342,1481,1445.37,0
t171,1343,1462,1428.07,0
t172,1338,1444,1407.54,0
t173,1337,1425,1383.56,0
t174,1353,1416,1372.27,0
t175,1358,1414,1366.33,0
t176,1364,1402,1358.98,0
t177,1366,1384,1334.82,0
t178,1370,1365,1322.57,0
t179,1359,1339,1292.33,0
t180,1346,1315,1277.01,0
t181,1315,1288,1246.32,0
t182,1308,1256,1220.67,0
t183,1296,1231,1195.29,0
t184,1291,1198,1166.29,0
t185,1278,1170,1131.75,0
t186,1261,1149,1104.28,0
t187,1254,1126,1075.46,0
t188,1249,1097,1045.64,0
t189,1246,1077,1022.88,0
t190,1242,1057,995.96,0
t191,1235,1031,978.67,0
t192,1239,1019,962.3,0
t193,1230,1003,940.22,0
t194,1234,981,925.22,0
t195,1242,967,905.04,0
t196,1242,950,889.62,0
t197,1239,935,877.81,0
t198,1236,926,858.32,0
t199,1236,912,853.78,0
t200,1241,897,849.76,0
t201,1246,895,839.04,0
t202,1244,887,832.74,0
t203,1242,876,824.86,0
t204,1244,873,820.18,0
t205,1246,870,822.99,0
t206,1245,863,816.87,0
t207,1235,864,819.63,0
t208,1180,858,823.21,0
t209,1187,869,828.85,0
t210,1192,878,839.44,0
t211,1192,883,845.41,0
t212,1201,882,846.36,0
t213,1212,898,867.36,0
t214,1222,905,880.88,0
t215,1236,907,884.57,0
t216,1251,909,887.53,0
t217,1264,917,894.95,0
t218,1271,920,900.25,0
t219,1256,927,906.09,0
t220,1241,937,912.7,0
t221,1228,954,924.59,0
t222,1239,970,933.99,0
t223,1260,984,942.71,0
t224,1263,1001,956.53,0
t225,1270,1020,972.1,0.3
t226,1267,1039,990.28,0.3
t227,1274,1055,1007.74,0.3
t228,1281,1080,1027.64,0.3
t229,1279,1106,1048.71,0.56
t230,1289,1131,1069,0.56
t231,1295,1155,1089.85,0.56
t232,1292,1176,1109.88,0.56
t233,1294,1196,1130.97,0.63
t234,1291,1218,1152.81,0.63
t235,1288,1236,1173.97,0.63
t236,1287,1253,1194.47,0.63
t237,1284,1268,1215.01,0.65
t238,1265,1284,1234.33,0.65
t239,1265,1300,1255.71,0.65
t240,1305,1315,1276.38,0.65
t241,1301,1330,1295.78,0.64
t242,1310,1346,1316.39,0.64
t243,1313,1358,1334.92,0.64
t244,1303,1370,1353.35,0.64
t245,1297,1383,1368.81,0.67
t246,1292,1397,1385.8,0.67
t247,1281,1409,1403.25,0.67
t248,1274,1420,1416.86,0.67
t249,1266,1433,1432.52,0.7
t250,1272,1444,1448.56,0.7
t251,1272,1454,1456.98,0.7
t252,1278,1462,1457.81,0.7
t253,1287,1469,1449.68,0.7
t254,1293,1479,1457.52,0.7
t255,1297,1486,1462.78,0.7
t256,1286,1488,1467.38,0.7
t257,1297,1488,1470.33,0.48
t258,1301,1490,1478.26,0.48
t259,1309,1490,1487.99,0.48
t260,1315,1487,1490.47,0.48
t261,1311,1478,1485.49,0
t262,1298,1474,1481.24,0
t263,1296,1468,1475.05,0
t264,1295,1460,1468.36,0
t265,1298,1449,1451.23,0
t266,1292,1438,1438.1,0
t267,1289,1419,1421.65,0
t268,1285,1396,1405.76,0
t269,1287,1379,1387.66,0
t270,1301,1361,1376.86,0
t271,1309,1354,1375.31,0
t272,1310,1348,1362.16,0
t273,1310,1327,1341.97,0
t274,1303,1302,1329.97,0
t275,1296,1284,1306.4,0
t276,1286,1256,1275.76,0
t277,1279,1225,1248.83,0
t278,1273,1198,1220.37,0
t279,1266,1176,1193.75,0
t280,1255,1142,1167.74,0
t281,1243,1114,1134.99,0
t282,1235,1088,1110.12,0
t283,1228,1067,1074.86,0
t284,1221,1044,1047.47,0
t285,1221,1014,1022.79,0
t286,1220,997,1001.65,0
t287,1207,977,975.25,0
t288,1204,951,958.21,0
t289,1202,941,940.62,0
t290,1200,924,919.31,0
t291,1201,906,905.06,0
t292,1196,894,886.78,0
t293,1197,878,879.23,0
t294,1195,867,868.51,0
t295,1195,855,849.35,0
t296,1199,841,841.19,0
t297,1199,834,842.43,0
t298,1193,826,834.29,0
t299,1189,814,826.66,0
t300,1191,810,826.03,0
t301,1195,808,825.86,0
t302,1200,800,819.29,0
t303,1198,799,823.16,0
t304,1195,797,825.2,0
t305,1207,804,833.97,0
t306,1215,814,844.27,0
t307,1222,817,850.35,0
t308,1239,822,861.81,0
t309,1262,839,882.45,0
t310,1280,850,886.62,0
t311,1299,851,892.88,0
t312,1309,851,904.52,0
t313,1313,858,907.62,0
t314,1315,855,916.13,0
t315,1303,863,923.9,0
t316,1291,876,927.84,0
t317,1290,887,942.98,0
t318,1287,904,952.1,0
t319,1292,919,961.98,0
t320,1295,933,977.04,0
t321,1293,955,993.09,0.31
t322,1289,974,1010.08,0.31
t323,1288,993,1027.4,0.31
t324,1287,1014,1042.19,0.31
t325,1282,1035,1064.06,0.7
t326,1279,1058,1081.33,0.7
t327,1281,1082,1098.99,0.7
t328,1279,1101,1116.4,0.7
t329,1279,1121,1131.51,0.69
t330,1281,1150,1151.2,0.69
t331,1278,1171,1166.4,0.69
t332,1279,1184,1182.72,0.69
t333,1275,1210,1203.25,0.64
t334,1272,1232,1219.93,0.64
t335,1269,1248,1237.74,0.64
t336,1264,1270,1256.02,0.64
t337,1262,1288,1271.08,0.51
t338,1263,1305,1291,0.51
t339,1264,1323,1310.61,0.51
t340,1264,1333,1324.01,0.51
t341,1265,1347,1340.88,0.49
t342,1266,1362,1349.25,0.49
t343,1267,1371,1362.28,0.49
t344,1268,1387,1373.97,0.49
t345,1266,1400,1385.95,0.38
t346,1269,1405,1398.11,0.38
t347,1267,1419,1409.29,0.38
t348,1269,1429,1416.83,0.38
t349,1269,1430,1423.32,0.24
t350,1266,1440,1430.07,0.24
t351,1269,1445,1434.92,0.24
t352,1270,1444,1436.26,0.24
t353,1268,1445,1436.5,0.1
t354,1268,1445,1437.83,0.1
t355,1268,1447,1436.17,0.1
t356,1264,1445,1433.69,0.1
t357,1261,1432,1423.93,0
t358,1259,1432,1417.76,0
t359,1259,1424,1416.38,0
t360,1259,1415,1406.4,0
t361,1259,1402,1397.1,0
t362,1260,1381,1384.72,0
t363,1256,1368,1365.41,0
t364,1238,1354,1351.2,0
t365,1256,1331,1330.88,0
t366,1245,1315,1321.8,0
t367,1281,1311,1316.42,0
t368,1283,1298,1304.29,0
t369,1281,1279,1289.71,0
t370,1277,1258,1273.37,0
t371,1270,1231,1250.28,0
t372,1260,1207,1234.69,0
t373,1247,1180,1207.37,0
t374,1241,1149,1185.09,0
t375,1233,1125,1162.21,0
t376,1226,1096,1126.05,0
t377,1214,1067,1101.3,0
t378,1209,1045,1073.45,0
t379,1203,1012,1045.92,0
t380,1195,992,1017.57,0
t381,1189,969,988.03,0
t382,1186,948,968.23,0
t383,1187,925,951.85,0
t384,1184,909,931.94,0
t385,1181,894,912.5,0
t386,1176,873,901.31,0
t387,1173,861,887.7,0
t388,1172,846,873.89,0
t389,1169,832,861.9,0
t390,1167,824,849.84,0
t391,1166,815,835.87,0
t392,1168,802,826.97,0
t393,1169,798,824.16,0
t394,1167,791,822.45,0
t395,1167,779,810.9,0
t396,1170,776,802.27,0
t397,1175,772,806.78,0
t398,1173,766,804.3,0
t399,1173,768,802.21,0
t400,1176,768,805.71,0
t401,1188,777,815.48,0
t402,1200,781,817.98,0
t403,1210,783,824.79,0
t404,1233,794,832.52,0
t405,1264,810,849.37,0
t406,1282,813,858.53,0
t407,1301,818,864.34,0
t408,1315,817,869.32,0
t409,1322,821,876.57,0
t410,1320,825,882.22,0
t411,1306,831,892.77,0
t412,1296,841,906.94,0
t413,1286,865,928.51,0
t414,1278,884,944.36,0
t415,1278,898,950.61,0
t416,1280,922,961.26,0
t417,1291,940,977.24,0.08
t418,1294,956,994.8,0.08
t419,1293,984,1019.1,0.08
t420,1294,1008,1037.43,0.08
t421,1292,1030,1050.19,0.31
t422,1298,1054,1071.77,0.31
t423,1299,1082,1091.76,0.31
t424,1298,1106,1107.33,0.31
t425,1299,1132,1126.65,0.61
t426,1305,1156,1140.42,0.61
t427,1309,1172,1159.89,0.61
t428,1307,1198,1178.98,0.61
t429,1301,1219,1192.41,0.65
t430,1308,1236,1214.89,0.65
t431,1312,1259,1235.08,0.65
t432,1319,1278,1246.8,0.65
t433,1314,1292,1268.8,0.63
t434,1311,1316,1285.71,0.63
t435,1318,1333,1293.67,0.63
t436,1313,1345,1306.96,0.63
t437,1327,1358,1326.88,0.65
t438,1326,1372,1341.41,0.65
t439,1324,1386,1349.26,0.65
t440,1326,1405,1359.72,0.65
t441,1328,1415,1369.48,0.68
t442,1331,1431,1374.81,0.68
t443,1335,1443,1385.87,0.68
t444,1336,1445,1392.65,0.68
t445,1336,1456,1393.3,0.68
t446,1338,1466,1402.56,0.68
t447,1340,1465,1403.66,0.68
t448,1331,1471,1405.04,0.68
t449,1326,1471,1402.26,0.48
t450,1320,1469,1406.38,0.48
t451,1316,1469,1399.18,0.48
t452,1309,1462,1394.12,0.48
t453,1305,1455,1379.47,0
t454,1301,1448,1368.27,0
t455,1302,1433,1357.72,0
t456,1298,1427,1348.11,0
t457,1287,1411,1328.82,0
t458,1287,1388,1315.38,0
t459,1290,1376,1296.99,0
t460,1289,1355,1278.7,0
t461,1308,1331,1261.83,0
t462,1320,1319,1247.28,0
t463,1319,1310,1243.27,0
t464,1313,1297,1237.15,0
t465,1316,1280,1216.84,0
t466,1305,1259,1205.62,0
t467,1303,1240,1186.01,0
t468,1301,1210,1162.96,0
t469,1282,1186,1138.63,0
t470,1283,1164,1117.4,0
t471,1277,1146,1098.09,0
t472,1267,1129,1076.97,0
t473,1256,1104,1048.02,0
t474,1245,1084,1029.77,0
t475,1238,1061,1008.46,0
t476,1234,1040,987.04,0
t477,1235,1011,1018.72,0
t478,1229,998,946.71,0
t479,1226,978,929.41,0
t480,1223,962,914.02,0
t481,1219,941,890.89,0
t482,1220,932,875.05,0
t483,1215,914,861.1,0
t484,1215,898,851,0
t485,1217,890,841.99,0
t486,1214,875,827.4,0
t487,1212,864,822.95,0
t488,1212,851,811.74,0
t489,1211,843,805.69,0
t490,1210,836,799.95,0
t491,1211,830,789.3,0
t492,1212,817,787.02,0
t493,1212,807,782.49,0
t494,1215,807,775.85,0
t495,1217,804,775.95,0
t496,1220,795,771.52,0
t497,1225,799,774.23,0
t498,1232,799,776.6,0
t499,1237,795,775.73,0
t500,1243,799,776.64,0
t501,1256,803,779.66,0
t502,1269,803,785.11,0
t503,1283,806,776.59,0
t504,1298,801,782.26,0
t505,1311,801,792.03,0
t506,1313,811,797.43,0
t507,1305,822,813.22,0
t508,1301,831,826.2,0
t509,1306,854,838.66,0
t510,1309,872,862.01,0
t511,1311,887,881.61,0
t512,1315,913,892.83,0
t513,1315,939,920.11,0.37
t514,1314,957,937.68,0.37
t515,1311,983,955.14,0.37
t516,1319,1003,977.18,0.37
t517,1326,1027,998.42,0.07
t518,1329,1049,1017.09,0.07
t519,1327,1075,1041.52,0.07
t520,1324,1094,1058.71,0.07
t521,1326,1117,1077.02,0.39
t522,1328,1142,1096.37,0.39
t523,1324,1161,1111.77,0.39
t524,1320,1184,1132.91,0.39
t525,1317,1204,1150.11,0.65
t526,1318,1224,1159.31,0.65
t527,1316,1247,1179.4,0.65
t528,1321,1264,1195.87,0.65
t529,1323,1276,1203.48,0.62
t530,1326,1298,1220.91,0.62
t531,1330,1315,1232.39,0.62
t532,1331,1324,1242.39,0.62
t533,1335,1342,1256.63,0.19
t534,1340,1353,1266.3,0.19
t535,1345,1365,1277.6,0.19
t536,1347,1373,1291.83,0.19
t537,1352,1380,1294.29,0.14
t538,1358,1391,1302.85,0.14
t539,1363,1401,1302.23,0.14
t540,1367,1409,1301.88,0.14
t541,1370,1417,1294.12,0.12
t542,1372,1425,1284.14,0.12
t543,1374,1432,1270.74,0.12
t544,1370,1436,1258.97,0.12
t545,1370,1438,1244.05,0.14
t546,1373,1440,1235.7,0.14
t547,1374,1439,1228.97,0.14
t548,1373,1439,1218.44,0.14
t549,1367,1440,1212.65,0
t550,1363,1430,1202.97,0
t551,1361,1428,1196.31,0
t552,1355,1424,1187.47,0
t553,1349,1410,1179.89,0
t554,1345,1400,1163.83,0
t555,1338,1384,1152.96,0
t556,1330,1365,1140.9,0
t557,1330,1349,1124.31,0
t558,1339,1333,1112.93,0
t559,1344,1328,1112.75,0
t560,1345,1320,1114.82,0
t561,1345,1299,1109.11,0
t562,1343,1284,1099.26,0
t563,1339,1266,1089.87,0
t564,1335,1244,1070.67,0
t565,1329,1224,1058.39,0
t566,1320,1202,1042.73,0
t567,1312,1183,1024.79,0
t568,1306,1162,1008.76,0
t569,1301,1136,986.95,0
t570,1292,1115,966.11,0
t571,1281,1091,950.31,0
t572,1275,1075,930.74,0
t573,1268,1052,911.96,0
t574,1263,1035,894.75,0
t575,1256,1016,878.9,0
t576,1248,1000,865.32,0
t577,1231,982,853.47,0
t578,1226,962,837.86,0
t579,1230,948,828.25,0
t580,1222,934,816.05,0
t581,1213,913,808.75,0
t582,1202,906,799.78,0
t583,1212,896,794.93,0
t584,1202,873,790.59,0
t585,1210,870,785.83,0
t586,1195,860,778.44,0
t587,1191,847,776.76,0
t588,1189,844,775.08,0
t589,1195,837,766.76,0
t590,1193,825,768.27,0
t591,1191,822,766.68,0
t592,1198,818,765.97,0
t593,1203,816,768.79,0
t594,1210,814,767.3,0
t595,1214,814,769.75,0
t596,1214,816,771.44,0
t597,1222,819,769.09,0
t598,1230,817,767.93,0
t599,1232,819,772.25,0
t600,1236,818,774.08,0
t601,1241,813,775.63,0
t602,1241,822,785.39,0
t603,1239,832,795.86,0
t604,1240,837,806.02,0
t605,1244,859,825.85,0
t606,1247,874,841.84,0
t607,1252,887,863.26,0
t608,1257,914,885.18,0
t609,1260,939,905.14,0.01
t610,1259,959,925.83,0.01
t611,1258,983,945.66,0.01
t612,1258,1006,964.31,0.01
t613,1261,1033,988.6,0.1
t614,1265,1060,1004.79,0.1
t615,1266,1081,1023.62,0.1
t616,1269,1103,1039.98,0.1
t617,1273,1130,1056.44,0.1
t618,1279,1154,1075.26,0.1
t619,1286,1176,1089.02,0.1
t620,1294,1199,1103.39,0.1
t621,1297,1219,1125.56,0.11
t622,1300,1240,1140.71,0.11
t623,1306,1256,1159.87,0.11
t624,1314,1278,1171.74,0.11
t625,1326,1299,1186.7,0.19
t626,1334,1319,1205.21,0.19
t627,1345,1337,1217.53,0.19
t628,1350,1353,1229.4,0.19
t629,1354,1371,1237.43,0.06
t630,1361,1387,1249.84,0.06
t631,1373,1400,1258.82,0.06
t632,1379,1415,1270.8,0.06
t633,1388,1420,1287.95,0.05
t634,1401,1435,1301.51,0.05
t635,1407,1450,1304.94,0.05
t636,1409,1456,1318.13,0.05
t637,1392,1467,1322.91,0.04
t638,1399,1474,1323.71,0.04
t639,1409,1479,1336.8,0.04
t640,1417,1483,1338.9,0.04
t641,1425,1486,1337.08,0.02
t642,1437,1491,1339.96,0.02
t643,1441,1493,1342.18,0.02
t644,1434,1497,1342.57,0.02
t645,1433,1491,1339.79,0
t646,1433,1489,1330.89,0
t647,1435,1483,1325.2,0
t648,1433,1476,1317.8,0
t649,1423,1464,1315.35,0
t650,1414,1453,1303.42,0
t651,1403,1435,1285.42,0
t652,1398,1422,1273.16,0
t653,1395,1405,1264.25,0
t654,1400,1393,1254.23,0
t655,1404,1385,1256.73,0
t656,1397,1381,1251.45,0
t657,1389,1362,1242.56,0
t658,1382,1347,1230.51,0
t659,1375,1326,1209.61,0
t660,1355,1296,1189.9,0
t661,1356,1278,1165.59,0
t662,1350,1259,1142.57,0
t663,1343,1231,1119.76,0
t664,1334,1203,1088.42,0
t665,1325,1174,1060.55,0
t666,1319,1155,1037.63,0
t667,1313,1129,1006.99,0
t668,1301,1108,988.56,0
t669,1295,1085,969.31,0
t670,1291,1057,942.98,0
t671,1286,1034,932.13,0
t672,1279,1012,918.7,0
